,JPM,rsi,MACD,Golden,Money Flow
2010-12-06,38.2,0,-1,0,0
2010-12-07,37.58,0,0,0,0
2010-12-08,38.55,0,0,0,0
2010-12-09,39.07,0,0,0,0
2010-12-10,39.67,0,0,0,0
2010-12-13,39.75,0,0,0,0
2010-12-14,39.06,0,0,1,0
2010-12-15,38.5,0,0,1,-1
2010-12-16,38.31,0,0,0,0
2010-12-17,37.98,0,0,0,0
2010-12-20,38.25,0,0,0,0
2010-12-21,39.26,0,-1,0,0
2010-12-22,40.37,0,0,0,0
2010-12-23,40.29,0,0,0,0
2010-12-27,40.86,0,0,0,0
2010-12-28,40.8,0,0,0,0
2010-12-29,40.56,-1,0,0,0
2010-12-30,40.43,0,0,0,0
2010-12-31,40.62,0,0,0,0
2011-01-03,41.73,0,0,0,0
2011-01-04,42.33,0,0,0,0
2011-01-05,42.85,0,0,1,0
2011-01-06,42.64,0,0,0,0
2011-01-07,41.83,0,0,0,-1
2011-01-10,41.6,0,0,0,0
2011-01-11,41.79,0,0,0,0
2011-01-12,42.86,0,0,0,0
2011-01-13,42.61,-1,0,0,0
2011-01-14,43.05,0,0,0,0
2011-01-18,42.9,0,0,0,0
2011-01-19,41.9,0,1,0,0
2011-01-20,42.9,0,0,0,0
2011-01-21,43.41,0,0,0,0
2011-01-24,43.16,0,0,0,0
2011-01-25,43.01,0,0,0,0
2011-01-26,43.12,0,0,0,0
2011-01-27,43.23,0,0,0,0
2011-01-28,42.7,0,0,0,0
2011-01-31,43.08,0,0,0,0
2011-02-01,44.03,0,0,0,0
2011-02-02,43.57,0,0,0,0
2011-02-03,43.58,0,0,0,0
2011-02-04,42.74,0,0,0,0
2011-02-07,43.62,0,0,0,0
2011-02-08,43.85,0,0,0,0
2011-02-09,43.24,0,0,0,0
2011-02-10,43.64,0,0,0,0
2011-02-11,44.64,0,0,0,0
2011-02-14,44.61,0,0,0,0
2011-02-15,44.88,0,-1,0,0
2011-02-16,45.95,0,0,1,0
2011-02-17,45.84,0,0,0,0
2011-02-18,46.01,0,0,0,0
2011-02-22,44.1,-1,0,0,0
2011-02-23,44.06,0,1,0,0
2011-02-24,44.01,0,0,0,0
2011-02-25,44.75,0,0,0,0
2011-02-28,44.76,0,0,0,0
2011-03-01,43.71,0,0,0,0
2011-03-02,43.34,0,0,0,0
2011-03-03,44.17,0,0,0,0
2011-03-04,43.63,0,0,0,0
2011-03-07,43.32,0,0,0,0
2011-03-08,44.48,0,0,0,0
2011-03-09,44.63,0,0,0,0
